name,age,gender,state,income_bracket,education_level,occupation_sector,religion,primary_cause,donation_frequency,avg_gift_usd,lifetime_donation_usd,last_gift_date,recurring_donor,preferred_channel,event_attendance_cnt,volunteer_hours_yr,email_engagement,communication_pref,employer_matching
高艳,56,Female,Other,<50k,College,Other,Christian,Education,Yearly,122.17,733.02,2025-06-14,False,SMS,1,0,0.446,SMS,False
Marvin Jacobson,40,Male,TX,50-100k,HighSchool,Other,None,AnimalWelfare,Yearly,162.65,325.3,2023-11-29,False,Email,0,0,0.131,Email,False
Trevor Williamson,30,Male,CA,<50k,Graduate,Other,None,Healthcare,Sporadic,60.27,482.16,2024-01-08,True,Email,0,0,0.144,Email,False
Matthew Tanner,49,Male,OH,100-250k,Graduate,Finance,None,PovertyRelief,Monthly,1000.0,24000.0,2024-05-11,True,SMS,1,0,0.266,SMS,True
Donald Evans,39,Male,Other,50-100k,College,Public,Christian,Education,Monthly,226.75,2721.0,2025-02-03,True,Email,1,0,0.311,Email,True
Charles Goodman,44,Male,CA,50-100k,College,Education,Christian,Healthcare,Yearly,253.08,2530.8,2023-10-13,False,SMS,0,0,0.256,SMS,False
严帅,69,Male,CA,100-250k,Graduate,Other,Catholic,Healthcare,Yearly,340.64,1362.56,2023-02-15,False,SMS,3,0,0.523,SMS,False
April Gonzalez,30,Female,Other,50-100k,Graduate,Other,None,Other,Yearly,131.99,1055.92,2024-07-01,False,DirectMail,1,8,0.203,DirectMail,False
Lucas Johnson,53,Male,TX,100-250k,HighSchool,Other,None,Education,Yearly,250.14,250.14,2024-03-24,False,SMS,0,0,0.473,SMS,False
金璐,54,Male,OH,50-100k,Graduate,Other,Catholic,PovertyRelief,Sporadic,104.15,416.6,2022-07-26,True,Email,3,0,0.098,Email,False
苏建,69,Female,Other,<50k,College,Other,None,Education,Monthly,79.2,950.4,2024-08-21,True,Email,2,0,0.54,Email,False
陈波,46,Female,Other,>250k,College,Other,Christian,Healthcare,Sporadic,2384.98,2384.98,2024-11-17,False,Email,2,0,0.266,Email,False
Kenneth Walker,47,Male,CA,>250k,HighSchool,Finance,Catholic,Other,Sporadic,1304.37,13043.7,2023-06-03,False,Email,2,0,0.503,Email,False
郭玉华,38,Female,NC,<50k,College,Healthcare,Christian,AnimalWelfare,Sporadic,126.36,505.44,2023-10-05,True,Email,1,17,0.267,Email,False
吴海燕,55,Female,TX,<50k,Graduate,Tech,Catholic,Other,Quarterly,47.79,1146.96,2025-06-03,True,DirectMail,0,0,0.617,DirectMail,False
April Alexander,45,Female,Other,50-100k,College,Other,None,Environment,Quarterly,293.26,4692.16,2023-05-08,True,DirectMail,1,0,0.334,DirectMail,False
高雪梅,53,Male,Other,50-100k,College,Education,Christian,Healthcare,Sporadic,281.97,3383.64,2025-02-26,False,Email,2,0,0.534,Email,False
魏杰,44,Female,Other,100-250k,Graduate,Tech,Christian,ChildDevelopment,Yearly,696.26,4177.56,2024-02-16,False,Email,0,0,0.387,Email,False
尹强,42,Female,Other,50-100k,Graduate,Other,Christian,Healthcare,Monthly,226.73,13603.8,2025-01-04,False,Email,1,0,0.142,Email,False
Kelly Smith,46,Female,CA,50-100k,Graduate,Healthcare,Catholic,AnimalWelfare,Monthly,326.31,7831.44,2023-06-14,False,Email,2,0,0.08,Email,True
唐桂花,26,Male,NY,>250k,College,Other,Christian,PovertyRelief,Sporadic,2034.0,16272.0,2025-01-10,False,DirectMail,1,0,0.133,DirectMail,False
Courtney Nixon,51,Female,Other,<50k,Graduate,Other,None,Other,Monthly,150.0,7200.0,2025-01-11,False,Email,1,0,0.057,Email,False
Sara Jacobs,44,Female,Other,>250k,Graduate,Other,Christian,PovertyRelief,Sporadic,2416.71,38667.36,2022-10-28,False,Email,1,0,0.248,Email,False
John George,52,Male,Other,50-100k,College,Other,Christian,PovertyRelief,Monthly,261.67,12560.16,2025-05-26,False,Email,0,0,0.339,Email,False
Gabrielle Perez,41,Female,Other,100-250k,College,Other,Catholic,Healthcare,Yearly,920.56,2761.68,2023-04-02,False,Email,0,11,0.119,Email,False
Stephanie Nelson,31,Female,Other,50-100k,HighSchool,Finance,None,PovertyRelief,Sporadic,196.72,1180.32,2024-07-22,False,Email,1,0,0.563,Email,False
Michael Shaw,52,Male,Other,50-100k,Graduate,Other,None,ChildDevelopment,Sporadic,400.0,3200.0,2025-03-28,True,DirectMail,2,0,0.095,DirectMail,False
孙丽娟,49,Female,Other,50-100k,Graduate,Healthcare,Other,AnimalWelfare,Sporadic,140.72,1266.48,2024-01-28,False,SMS,0,0,0.313,SMS,False
Mary Serrano,36,Female,TX,50-100k,College,Other,None,Other,Quarterly,358.79,12916.44,2022-12-15,True,Email,2,19,0.109,Email,False
Todd Schultz,40,Male,OH,<50k,HighSchool,Other,None,ChildDevelopment,Yearly,84.85,254.55,2023-10-05,False,Phone,3,0,0.477,Phone,False
Kendra Woods,53,Female,Other,100-250k,Graduate,Other,Catholic,Environment,Sporadic,753.42,12054.72,2024-03-13,False,Email,0,0,0.332,Email,False
Gina Adams,43,Female,TX,100-250k,HighSchool,Other,Catholic,PovertyRelief,Sporadic,656.6,5909.4,2023-11-06,False,Email,1,0,0.148,Email,False
徐佳,40,Female,TX,50-100k,College,Other,Christian,ChildDevelopment,Monthly,193.31,13918.32,2023-01-17,True,Email,3,0,0.201,Email,False
Matthew Adams,48,Male,NC,50-100k,College,Other,None,Environment,Monthly,217.22,2606.64,2022-12-11,True,Phone,0,11,0.183,Phone,False
Alyssa Love,19,Female,GA,<50k,College,Other,None,Education,Quarterly,150.0,3600.0,2023-09-28,True,Email,2,0,0.306,Email,False
Alejandro Koch,71,Male,Other,50-100k,Graduate,Healthcare,Catholic,Environment,Quarterly,400.0,3200.0,2023-12-15,True,Email,0,0,0.284,Email,False
乔凤兰,33,Female,CA,<50k,HighSchool,Other,None,Environment,Sporadic,55.71,111.42,2025-06-21,False,Email,2,0,0.39,Email,False
Larry Mcknight,53,Male,FL,100-250k,Graduate,Tech,None,Other,Quarterly,463.21,7411.36,2022-11-02,False,DirectMail,2,0,0.374,DirectMail,False
赵秀云,38,Male,TX,>250k,College,Tech,Catholic,AnimalWelfare,Yearly,2026.38,10131.9,2024-05-01,False,Email,1,0,0.577,Email,False
任颖,52,Female,Other,50-100k,Graduate,Other,Other,Environment,Sporadic,269.41,1077.64,2024-11-09,False,SMS,0,0,0.368,SMS,False
John Davis,45,Male,CA,50-100k,Graduate,Tech,Christian,Healthcare,Monthly,246.0,5904.0,2023-01-15,False,Email,0,0,0.226,Email,False
马秀英,29,Male,FL,100-250k,Graduate,Other,None,AnimalWelfare,Sporadic,1000.0,6000.0,2024-08-30,False,Email,1,15,0.135,Email,False
Steven Tran,56,Male,NC,100-250k,College,Tech,None,Education,Sporadic,900.18,5401.08,2024-08-24,False,Email,0,11,0.301,Email,False
徐秀荣,42,Female,GA,>250k,HighSchool,Tech,None,Other,Sporadic,2178.26,8713.04,2024-01-03,False,Email,1,0,0.61,Email,False
Jamie Hall,57,Female,Other,100-250k,HighSchool,Tech,Christian,Healthcare,Yearly,389.2,389.2,2022-07-20,False,Email,0,0,0.361,Email,False
王建军,40,Female,GA,>250k,Graduate,Education,Christian,PovertyRelief,Yearly,1637.13,4911.39,2024-10-22,False,Email,1,0,0.519,Email,False
姚宇,56,Male,Other,100-250k,College,Other,Muslim,Healthcare,Sporadic,661.26,3967.56,2022-07-23,False,Email,0,17,0.449,Email,False
申红霞,43,Female,Other,50-100k,College,Finance,Catholic,Healthcare,Monthly,247.35,2968.2,2023-12-14,False,DirectMail,1,0,0.162,DirectMail,False
周洋,28,Female,TX,100-250k,Graduate,Tech,None,PovertyRelief,Sporadic,902.42,8121.78,2023-04-18,False,SMS,1,0,0.184,SMS,False
王宇,18,Female,Other,100-250k,College,Other,Christian,Environment,Monthly,971.43,34971.48,2023-04-11,True,Email,0,0,0.3,Email,False
梁鑫,37,Male,NY,50-100k,Graduate,Other,Catholic,AnimalWelfare,Monthly,238.99,5735.76,2023-02-12,False,SMS,5,0,0.227,SMS,False
Justin Evans,44,Male,Other,<50k,College,Other,Christian,Environment,Yearly,138.04,1380.4,2023-06-23,False,SMS,2,0,0.189,SMS,False
王柳,49,Female,Other,100-250k,HighSchool,Tech,Catholic,PovertyRelief,Monthly,707.76,76438.08,2024-06-20,False,Email,0,2,0.26,Email,False
张阳,34,Male,PA,50-100k,College,Public,None,AnimalWelfare,Yearly,182.73,365.46,2023-09-27,True,SMS,2,0,0.573,SMS,False
James Robinson,47,Male,NY,100-250k,College,Healthcare,Christian,Healthcare,Monthly,507.18,60861.6,2024-04-21,False,DirectMail,1,16,0.155,DirectMail,True
Tyler Perez,42,Male,TX,100-250k,College,Public,None,Environment,Quarterly,984.31,35435.16,2022-08-24,True,Email,1,0,0.371,Email,False
秦博,53,Female,Other,<50k,College,Other,Catholic,Environment,Yearly,83.52,501.12,2023-08-10,False,DirectMail,1,3,0.23,DirectMail,False
陈旭,39,Male,CA,>250k,HighSchool,Healthcare,Christian,Education,Monthly,1289.03,154683.6,2022-10-20,True,DirectMail,1,0,0.555,DirectMail,False
Jordan Braun,42,Female,NY,<50k,Graduate,Other,None,Other,Monthly,118.12,2834.88,2024-10-17,True,Email,2,0,0.441,Email,False
Kristina Boyd,40,Female,FL,>250k,HighSchool,Finance,Christian,Healthcare,Yearly,1741.72,10450.32,2025-05-22,True,SMS,2,0,0.446,SMS,False
Angela Roberson,44,Female,TX,<50k,College,Finance,Christian,Education,Yearly,49.92,399.36,2024-12-25,False,Email,1,0,0.134,Email,False
李小红,29,Male,Other,<50k,College,Education,None,Education,Yearly,59.66,417.62,2024-11-12,False,DirectMail,1,0,0.471,DirectMail,True
毕凤兰,36,Male,FL,100-250k,Graduate,Tech,None,Environment,Monthly,672.72,72653.76,2024-07-12,True,Email,2,6,0.307,Email,False
陈磊,27,Male,Other,50-100k,Graduate,Other,None,ChildDevelopment,Quarterly,146.74,5282.64,2023-04-16,False,Email,0,0,0.226,Email,False
Tracy Webster,36,Other,Other,100-250k,HighSchool,Healthcare,None,AnimalWelfare,Sporadic,498.55,9971.0,2024-03-11,False,Email,3,0,0.248,Email,True
Kimberly Lopez,24,Female,Other,100-250k,College,Other,Other,PovertyRelief,Yearly,593.41,5340.69,2022-09-05,False,Phone,1,0,0.146,Phone,False
Anthony Hernandez,47,Male,Other,<50k,Graduate,Other,None,ChildDevelopment,Yearly,66.91,669.1,2025-04-13,False,Email,1,0,0.185,Email,False
Bradley Frye,33,Male,Other,100-250k,College,Other,Catholic,Other,Monthly,691.04,58047.36,2023-02-26,True,DirectMail,2,0,0.493,DirectMail,False
张坤,67,Female,Other,50-100k,HighSchool,Other,Christian,Healthcare,Quarterly,289.56,11582.4,2023-07-25,True,SMS,0,0,0.345,SMS,False
杨建军,69,Female,Other,>250k,College,Healthcare,Christian,Education,Sporadic,1774.37,17743.7,2023-05-23,False,Email,0,0,0.365,Email,True
亓刚,33,Male,TX,50-100k,Graduate,Public,Catholic,PovertyRelief,Quarterly,108.02,4320.8,2024-09-27,True,DirectMail,0,0,0.286,DirectMail,False
李龙,24,Male,NY,100-250k,Graduate,Other,Catholic,PovertyRelief,Sporadic,878.08,14049.28,2023-05-25,False,SMS,2,12,0.402,SMS,False
何凤兰,58,Female,TX,>250k,College,Other,Catholic,Environment,Quarterly,3000.0,96000.0,2025-01-18,True,Email,1,0,0.608,Email,False
刘琴,52,Female,TX,50-100k,Graduate,Other,None,PovertyRelief,Quarterly,259.74,9350.64,2024-06-29,True,Email,0,8,0.307,Email,False
Leslie Todd,27,Female,OH,50-100k,College,Education,Catholic,Healthcare,Yearly,185.87,1858.7,2023-10-11,False,Email,3,0,0.475,Email,True
Jennifer Elliott,38,Female,FL,>250k,College,Other,None,ChildDevelopment,Sporadic,1858.67,13010.69,2023-01-27,False,Email,0,10,0.562,Email,False
Linda Green,49,Female,Other,100-250k,College,Healthcare,Christian,Healthcare,Yearly,352.34,1761.7,2023-06-11,True,DirectMail,1,3,0.25,DirectMail,False
孙文,61,Female,TX,<50k,Graduate,Other,Catholic,Healthcare,Quarterly,32.07,256.56,2024-06-01,False,Email,1,0,0.13,Email,False
黄浩,65,Female,Other,50-100k,Graduate,Tech,Christian,Healthcare,Yearly,224.3,448.6,2024-08-28,False,Email,1,0,0.215,Email,False
赵杨,65,Male,Other,50-100k,HighSchool,Education,Christian,Healthcare,Yearly,135.76,814.56,2025-05-24,False,Phone,1,33,0.246,Phone,False
James Blackburn,46,Male,NY,100-250k,HighSchool,Other,Christian,Education,Yearly,1000.0,8000.0,2025-03-26,False,DirectMail,0,0,0.426,DirectMail,False
Veronica Lambert,35,Female,Other,<50k,College,Tech,Christian,AnimalWelfare,Monthly,150.0,7200.0,2024-05-13,True,Email,1,7,0.282,Email,False
赵洁,57,Female,CA,50-100k,Graduate,Other,None,ChildDevelopment,Yearly,148.0,1332.0,2022-09-21,False,DirectMail,0,0,0.516,DirectMail,False
张丽娟,66,Female,Other,>250k,College,Finance,None,Education,Monthly,1819.38,218325.6,2023-01-22,True,SMS,1,0,0.324,SMS,False
Haley Flowers,73,Female,Other,<50k,College,Tech,Catholic,Education,Monthly,60.91,5847.36,2025-04-21,True,DirectMail,0,0,0.285,DirectMail,False
刘秀兰,32,Female,MI,100-250k,Graduate,Education,Christian,AnimalWelfare,Yearly,702.44,1404.88,2023-09-16,False,SMS,1,0,0.283,SMS,False
丁桂珍,51,Female,Other,<50k,Graduate,Other,Christian,Education,Sporadic,49.53,495.3,2023-03-05,False,Phone,1,15,0.604,Phone,False
黄丽丽,18,Female,CA,<50k,College,Healthcare,None,ChildDevelopment,Monthly,69.86,3353.28,2023-02-14,True,SMS,2,83,0.169,SMS,False
洪丹丹,37,Male,Other,<50k,Graduate,Finance,Christian,ChildDevelopment,Yearly,63.79,191.37,2023-07-21,False,Email,3,0,0.101,Email,False
Mr. Sean Salazar,46,Male,FL,100-250k,College,Other,None,ChildDevelopment,Monthly,827.29,29782.44,2022-09-01,True,Email,1,2,0.019,Email,False
何志强,28,Male,Other,<50k,Graduate,Healthcare,Catholic,PovertyRelief,Sporadic,150.0,1350.0,2022-09-25,False,DirectMail,1,0,0.319,DirectMail,True
何金凤,46,Female,FL,>250k,HighSchool,Healthcare,Catholic,Healthcare,Sporadic,1528.34,1528.34,2024-05-04,True,Phone,1,5,0.402,Phone,False
康凯,33,Male,Other,50-100k,Graduate,Other,None,ChildDevelopment,Sporadic,102.03,612.18,2023-12-06,False,Email,3,20,0.152,Email,False
潘荣,50,Male,FL,<50k,HighSchool,Other,Catholic,Healthcare,Sporadic,84.89,169.78,2024-10-28,False,Phone,0,3,0.062,Phone,False
Kristi Shaw,32,Female,Other,100-250k,College,Other,Catholic,Environment,Sporadic,1000.0,8000.0,2023-05-27,False,Phone,2,15,0.121,Phone,False
Nancy Boyd,54,Female,Other,100-250k,HighSchool,Tech,Catholic,Healthcare,Yearly,702.53,2107.59,2024-08-26,False,SMS,0,0,0.341,SMS,False
陈帅,65,Male,Other,100-250k,HighSchool,Public,Christian,Healthcare,Sporadic,987.63,3950.52,2023-06-25,False,Email,3,0,0.467,Email,False
李颖,69,Female,Other,50-100k,College,Other,Jewish,Healthcare,Monthly,315.13,22689.36,2022-07-21,True,SMS,0,0,0.332,SMS,False
Marcus Padilla,55,Male,Other,50-100k,HighSchool,Tech,Catholic,AnimalWelfare,Sporadic,243.7,1218.5,2023-03-15,False,Phone,0,0,0.477,Phone,False
Melanie Gardner,54,Female,NY,<50k,College,Finance,None,Other,Monthly,150.0,7200.0,2023-05-21,True,Email,1,15,0.077,Email,False
Michele Ferguson,56,Female,CA,50-100k,College,Other,Christian,PovertyRelief,Sporadic,156.66,2819.88,2023-08-06,False,Email,0,0,0.293,Email,False
柯春梅,25,Female,CA,100-250k,HighSchool,Education,Muslim,Environment,Sporadic,1000.0,10000.0,2025-01-20,False,Email,3,0,0.21,Email,True
张欢,61,Female,Other,100-250k,College,Tech,Christian,AnimalWelfare,Sporadic,1000.0,4000.0,2024-04-21,False,Email,1,0,0.131,Email,False
黄利,43,Female,Other,50-100k,Graduate,Public,None,Other,Sporadic,264.38,2643.8,2024-08-30,False,Phone,1,0,0.279,Phone,True
郝成,46,Female,FL,>250k,HighSchool,Other,None,Other,Monthly,2262.67,190064.28,2024-01-04,True,Email,0,6,0.448,Email,False
Justin Jacobs,18,Male,MI,50-100k,College,Other,Catholic,PovertyRelief,Sporadic,400.0,4000.0,2024-11-03,False,DirectMail,0,32,0.486,DirectMail,False
吴桂芝,22,Male,FL,<50k,Graduate,Other,Christian,Environment,Yearly,74.86,149.72,2024-05-02,False,Email,2,19,0.042,Email,False
Shawna Arias,36,Female,NY,50-100k,Graduate,Other,Catholic,PovertyRelief,Yearly,229.87,1149.35,2024-12-06,False,DirectMail,0,0,0.466,DirectMail,False
Bethany Collins,56,Female,NC,100-250k,College,Finance,None,Healthcare,Quarterly,580.85,4646.8,2023-07-19,True,Email,2,0,0.274,Email,True
Joy Henry,60,Female,Other,>250k,Graduate,Tech,Christian,ChildDevelopment,Yearly,932.6,9326.0,2023-11-14,True,DirectMail,1,2,0.42,DirectMail,False
Christina Blackwell,62,Female,TX,50-100k,HighSchool,Public,Christian,Environment,Yearly,182.49,1459.92,2024-05-22,False,Email,1,0,0.085,Email,True
孙娟,27,Male,CA,100-250k,HighSchool,Healthcare,Catholic,Education,Yearly,360.44,1081.32,2023-01-04,True,Email,2,0,0.202,Email,False
彭芳,31,Male,TX,50-100k,Graduate,Other,None,Education,Sporadic,257.87,1031.48,2024-03-25,False,Email,2,0,0.302,Email,False
王超,73,Male,OH,50-100k,HighSchool,Public,Christian,Education,Yearly,290.48,290.48,2024-09-20,False,Phone,1,9,0.148,Phone,False
Kevin Carlson,39,Male,Other,100-250k,College,Other,Christian,Other,Yearly,936.26,6553.82,2024-03-04,False,SMS,1,0,0.41,SMS,False
张琴,48,Male,Other,50-100k,HighSchool,Other,None,Environment,Yearly,231.59,1621.13,2023-02-10,True,SMS,3,0,0.464,SMS,False
张雪,55,Male,FL,<50k,Graduate,Education,Christian,Education,Monthly,90.55,8692.8,2023-02-20,True,Email,5,0,0.06,Email,False
李红梅,27,Male,CA,<50k,College,Other,Catholic,AnimalWelfare,Quarterly,97.54,3511.44,2024-08-14,False,Email,1,0,0.118,Email,False
Jennifer Stephens,47,Female,Other,50-100k,HighSchool,Other,None,PovertyRelief,Monthly,127.34,13752.72,2024-09-02,False,Email,1,0,0.231,Email,False
张丹,43,Female,CA,50-100k,Graduate,Healthcare,Other,Environment,Sporadic,105.46,210.92,2024-03-10,False,Phone,1,0,0.277,Phone,False
饶俊,57,Female,PA,50-100k,College,Other,Other,AnimalWelfare,Sporadic,169.45,1016.7,2023-04-23,False,Email,1,0,0.129,Email,False
Anthony Gregory MD,24,Male,Other,<50k,College,Healthcare,Christian,ChildDevelopment,Yearly,88.21,352.84,2023-06-03,False,Email,1,15,0.498,Email,False
Kevin Gilmore,26,Male,CA,<50k,College,Other,Christian,ChildDevelopment,Sporadic,62.02,372.12,2025-01-31,False,Email,1,0,0.242,Email,False
Patrick Lowery,47,Male,Other,50-100k,Graduate,Finance,Catholic,AnimalWelfare,Sporadic,312.95,2190.65,2022-12-29,False,Phone,0,0,0.351,Phone,True
Whitney Small,41,Female,CA,100-250k,HighSchool,Other,None,AnimalWelfare,Monthly,849.38,40770.24,2024-01-16,False,SMS,1,0,0.106,SMS,False
谢利,44,Male,Other,100-250k,Graduate,Other,Christian,Environment,Sporadic,911.97,3647.88,2022-07-22,False,Email,0,0,0.515,Email,False
Christopher Haynes,48,Male,Other,100-250k,HighSchool,Tech,Christian,Environment,Sporadic,524.36,1048.72,2024-10-11,False,Email,0,0,0.438,Email,True
刘志强,40,Other,NC,100-250k,Graduate,Other,None,AnimalWelfare,Yearly,1000.0,5000.0,2024-09-29,False,SMS,1,0,0.264,SMS,False
Samantha Gould,44,Female,CA,100-250k,Graduate,Other,Catholic,PovertyRelief,Yearly,1000.0,9000.0,2022-07-31,False,SMS,3,0,0.555,SMS,False
王辉,58,Male,Other,100-250k,College,Education,Christian,AnimalWelfare,Sporadic,795.54,3977.7,2023-03-01,True,Email,1,0,0.186,Email,True
贺萍,66,Male,OH,100-250k,College,Other,Christian,PovertyRelief,Sporadic,834.97,4174.85,2023-09-18,False,Email,0,0,0.162,Email,False
李文,46,Female,MI,50-100k,College,Healthcare,None,Healthcare,Monthly,400.0,33600.0,2025-05-23,True,Email,1,0,0.101,Email,False
侯亮,36,Male,Other,100-250k,HighSchool,Other,Christian,Education,Sporadic,794.42,4766.52,2024-02-03,False,Email,3,0,0.392,Email,False
易志强,47,Male,Other,<50k,Graduate,Education,Christian,Healthcare,Sporadic,108.46,1084.6,2024-08-23,False,Email,1,0,0.073,Email,False
Ricky Freeman,50,Male,Other,100-250k,Graduate,Tech,Christian,Environment,Yearly,796.78,3187.12,2022-09-08,False,Phone,1,0,0.122,Phone,True
段建国,41,Female,Other,50-100k,Graduate,Other,Christian,Education,Monthly,400.0,33600.0,2024-08-15,True,Email,2,11,0.15,Email,False
Steven Allen,43,Male,FL,<50k,Graduate,Public,Christian,Environment,Sporadic,139.06,417.18,2023-05-14,False,Email,0,0,0.631,Email,False
Sarah Lane,32,Female,CA,<50k,Graduate,Other,Other,Healthcare,Sporadic,72.45,1159.2,2023-05-29,False,Phone,0,0,0.274,Phone,False
Luis Ross,45,Male,CA,100-250k,College,Other,Catholic,Other,Yearly,679.53,6795.3,2025-04-25,False,Email,3,0,0.192,Email,False
郝帅,35,Female,Other,50-100k,College,Finance,Christian,Healthcare,Monthly,158.41,7603.68,2022-12-21,True,Email,1,52,0.385,Email,False
苏佳,25,Female,Other,50-100k,HighSchool,Other,None,Healthcare,Yearly,299.67,2397.36,2023-04-24,False,DirectMail,1,0,0.294,DirectMail,False
Anthony Roberts,32,Male,CA,100-250k,College,Other,Christian,Education,Sporadic,630.7,3153.5,2022-09-22,False,Email,1,0,0.157,Email,False
贾桂芝,37,Female,Other,100-250k,Graduate,Finance,None,PovertyRelief,Monthly,516.72,49605.12,2024-08-19,True,Email,0,0,0.087,Email,False
Kristine Neal,64,Female,Other,<50k,Graduate,Education,Christian,Environment,Yearly,63.57,254.28,2024-08-20,False,SMS,1,0,0.414,SMS,False
Sydney Martinez,48,Female,OH,100-250k,Graduate,Tech,Christian,Education,Sporadic,958.36,3833.44,2022-09-19,False,Email,1,0,0.226,Email,False
Russell Bowen,25,Male,CA,50-100k,College,Finance,Christian,ChildDevelopment,Yearly,230.95,2309.5,2022-08-17,False,Email,1,0,0.118,Email,False
程勇,57,Female,CA,<50k,HighSchool,Education,None,Education,Quarterly,70.4,2252.8,2023-03-01,False,Email,0,0,0.29,Email,True
Kristina Fischer,45,Other,IL,50-100k,HighSchool,Finance,Christian,Other,Monthly,225.47,8116.92,2025-04-06,True,Email,0,0,0.219,Email,False
贾伟,53,Female,Other,100-250k,HighSchool,Other,Catholic,PovertyRelief,Sporadic,763.64,7636.4,2022-08-18,False,Email,1,0,0.254,Email,False
田彬,48,Female,CA,100-250k,HighSchool,Finance,Christian,Healthcare,Sporadic,771.0,1542.0,2023-06-26,False,Email,0,0,0.181,Email,True
胡秀梅,48,Female,NY,<50k,Graduate,Other,Christian,Education,Yearly,64.58,322.9,2023-03-08,False,Email,1,0,0.632,Email,False
孙华,48,Female,GA,100-250k,HighSchool,Other,Catholic,Healthcare,Monthly,400.79,28856.88,2024-08-27,True,Phone,2,0,0.211,Phone,False
Steven Beltran,40,Male,Other,50-100k,College,Other,None,Healthcare,Sporadic,258.3,1808.1,2025-01-09,True,Email,0,0,0.144,Email,False
张玲,47,Female,Other,100-250k,College,Other,None,Environment,Yearly,559.26,2237.04,2023-10-04,True,SMS,4,0,0.323,SMS,False
洪成,52,Female,Other,50-100k,College,Education,Christian,PovertyRelief,Sporadic,214.93,2149.3,2023-04-30,False,Email,0,0,0.092,Email,False
Jennifer Maldonado,38,Female,NY,>250k,Graduate,Finance,Christian,Environment,Yearly,1960.63,3921.26,2024-09-11,False,SMS,0,0,0.825,SMS,False
Dominique Anderson,43,Female,Other,100-250k,Graduate,Other,Christian,Environment,Sporadic,472.65,945.3,2024-12-23,True,SMS,5,0,0.09,SMS,False
Donna Gonzales,35,Female,Other,<50k,College,Finance,None,Healthcare,Monthly,60.75,6561.0,2024-11-11,False,SMS,2,0,0.039,SMS,False
朱小红,26,Male,FL,>250k,HighSchool,Other,Catholic,Environment,Sporadic,1456.89,8741.34,2024-08-04,True,DirectMail,2,0,0.384,DirectMail,False
Morgan Thompson,54,Female,TX,>250k,Graduate,Other,Christian,PovertyRelief,Sporadic,1653.5,9921.0,2024-04-09,False,Email,4,0,0.188,Email,False
杨勇,53,Male,CA,50-100k,College,Education,Catholic,Healthcare,Quarterly,80.0,1280.0,2024-04-14,False,Email,2,0,0.27,Email,True
Robert Jordan,33,Male,NY,<50k,HighSchool,Healthcare,Christian,Environment,Sporadic,150.0,1500.0,2023-12-12,False,Email,1,18,0.653,Email,False
Terry Gutierrez,45,Male,Other,50-100k,Graduate,Other,Catholic,Education,Sporadic,381.64,381.64,2022-08-14,False,Email,3,0,0.538,Email,False
张柳,48,Male,IL,50-100k,HighSchool,Tech,Muslim,Other,Monthly,254.93,30591.6,2024-10-06,True,Email,2,6,0.082,Email,True
Mrs. Meagan Alexander PhD,55,Female,Other,100-250k,College,Education,Christian,Education,Sporadic,507.59,3553.13,2025-06-20,False,Email,1,0,0.608,Email,False
Kimberly Lee,31,Female,TX,50-100k,HighSchool,Other,Catholic,PovertyRelief,Yearly,196.0,1372.0,2022-08-10,True,Email,0,0,0.09,Email,False
姚鹏,58,Male,TX,<50k,HighSchool,Finance,Catholic,PovertyRelief,Quarterly,147.95,1775.4,2023-04-21,True,Phone,2,98,0.61,Phone,False
Jesus Campbell,42,Male,Other,<50k,Graduate,Healthcare,Catholic,ChildDevelopment,Quarterly,86.63,1732.6,2023-11-28,True,DirectMail,1,0,0.426,DirectMail,False
Taylor Jordan DDS,34,Female,NC,>250k,Graduate,Finance,None,ChildDevelopment,Yearly,1308.17,1308.17,2024-05-15,False,Email,3,0,0.146,Email,False
Barbara Morgan,43,Female,PA,>250k,College,Other,Other,Education,Quarterly,1308.4,20934.4,2022-10-07,False,SMS,0,0,0.451,SMS,False
丁荣,21,Male,Other,50-100k,HighSchool,Healthcare,Muslim,ChildDevelopment,Sporadic,184.28,1658.52,2025-02-07,False,Email,1,0,0.403,Email,False
Michael Hayes,38,Male,TX,>250k,College,Healthcare,Other,PovertyRelief,Sporadic,1966.36,15730.88,2024-11-30,False,SMS,0,0,0.064,SMS,False
赵敏,30,Female,Other,100-250k,College,Tech,Christian,Environment,Monthly,985.57,118268.4,2023-08-31,True,DirectMail,4,9,0.619,DirectMail,False
宫鹏,46,Male,TX,<50k,College,Public,Christian,PovertyRelief,Yearly,99.84,898.56,2024-08-03,False,Email,1,0,0.192,Email,True
Carolyn Malone,45,Female,Other,50-100k,HighSchool,Education,None,Education,Yearly,150.85,603.4,2022-12-16,False,Email,3,0,0.587,Email,True
李丹,50,Female,OH,<50k,Graduate,Healthcare,Christian,ChildDevelopment,Quarterly,95.81,383.24,2023-06-05,True,Email,1,0,0.384,Email,False
高秀芳,44,Female,Other,100-250k,College,Finance,Christian,Healthcare,Sporadic,524.46,6293.52,2023-08-24,False,Phone,0,0,0.524,Phone,False
Eric Wilson,36,Male,Other,50-100k,Graduate,Other,Christian,Environment,Sporadic,230.02,920.08,2024-08-03,True,DirectMail,1,0,0.014,DirectMail,False
王丽华,62,Female,NY,100-250k,Graduate,Education,None,ChildDevelopment,Monthly,1000.0,60000.0,2024-07-05,True,Email,2,0,0.185,Email,False
